lemma_id,entry_number,lemma,version,canonical_source_document,canonical_source_variant,canonical_source_text_version_id,canonical_words,legacy_words,delta_canonical_minus_legacy,canonical_snippet,legacy_snippet
2054,1,Καβαλίς,epitome,meineke,csv_fallback,55017,47,45,2,"Καβαλίς, πόλις πλησίον Κιβύρας πρὸς νότον Μαιάνδρου. [Στράβων τρισκαιδεκάτῃ.] ἡ γενικὴ Καβαλίδος. ὁ πολίτης Καβαλεύς. Ἑκαταῖος Ἀσίᾳ. καὶ θηλυκῶς, ὡς Στράβων ἐν τῇ εἰρημένῃ “ἀπόγονοι δὲ Λυδῶν οἱ Κιβυρᾶται τῶν κατασχόντων...","Καβαλίς· πόλις πλησίον Κιβύρας πρὸς νότον Μαιάνδρου (Str. 13,4,15 [C 630,19]). ἡ γενικὴ Καβαλίδος. ὁ πολίτης Καβαλεύς. Ἑκαταῖος Ἀσίᾳ (FGrHist 1 F 269). καὶ θηλυκῶς, ὡς Στράβων ἐν τῇ εἰρημένῃ (13,4,17 [C 631,5]) „ἀπόγονο..."
2055,2,Καβασσός,epitome,meineke,csv_fallback,55018,74,75,-1,"Καβασσός, πόλις ἐν Καππαδοκίᾳ, πατρὶς Ὀθρυονέως. Ὅμηρος “Καβησσόθεν ἔνδον ἐόντα”. Ἑκαταῖος δ´ ὁ Μιλήσιος Καβησσὸν πόλιν εἶναί φησιν ὑπερβάντι τὸν Θρᾴκιον Αἷμον. καὶ συμφωνεῖ καὶ ἡ τοῦ γάμου ἐλπὶς τῶν Θρᾳκῶν ἀκολασίᾳ. Ἑλ...","Καβασσός· πόλις ἐν Καππαδοκίᾳ, πατρὶς Ὀθρυονέως. Ὅμηρος (Ν 363) „Καβησόθεν ἔνδον ἐόντα“. Ἑκαταῖος δ᾽ ὁ Μιλήσιος (FGrHist 1 F 169) Καβησσὸν πόλιν εἶναί φησιν ὑπερβάντι τὸν Θρᾴκιον Αἱμον. καὶ συμφωνεῖ καὶ ἡ τοῦ γάμου ἐλπὶ..."
2077,14,Καιρή,epitome,meineke,csv_fallback,6833,11,12,-1,"Καιρή, πόλις Τυρρηνίας. τὸ ἐθνικὸν Καιριτανός. εἴρηται ἐν τῷ περὶ Ἀγύλλης.",Καιρή· πόλις Τυρρηνίας. τὸ ἐθνικὸν Καιρητανός. εἴρηται ἐν τῷ περὶ Ἀγύλλης (α 51).
2082,19,Καλάμαι,epitome,meineke,csv_fallback,55028,5,6,-1,"Καλάμαι, πόλις Πελοποννήσου. Παυσανίας τετάρτῳ.","Καλάμαι· πόλις Πελοποννήσου. Παυσανίας δ (4,31,3)."
2083,20,Καλαμένθη,epitome,kiesling,manual,56746,16,17,-1,"Καλαμένθη, ἥ τις καὶ Καλαμίνθη, πόλις Λιβύης. Ἑκαταῖος περιηγήσει. κρεῖττον οὖν ὡς Ἡρόδοτος διὰ τοῦ « ι ».","Καλαμένθη· ἥτις καὶ Καλαμίνθη, πόλις Λιβύης. Ἑκαταῖος Περιηγήσει (FGrHist 1 F 348), κρεῖττον οὖν ὡς Ἡρωδιανὸς (1,312,22; 2,529,3) διὰ τοῦ ι πόλις Φοινίκων."
2087,24,Καλαύρεια,epitome,meineke,csv_fallback,55030,20,21,-1,"Καλαύρεια, νησίδιον πρὸς τῇ Κρήτῃ, [κύκλον ἔχουσα] ὅσον τριάκοντα σταδίων, ἀπὸ Καλαύρου τοῦ Ποσειδῶνος. ἐκαλεῖτο καὶ Εἰρήνη· ὁ πολίτης Καλαυρείτης.","Καλαύρεια· νησίδιον πρὸς τῇ Κρήτῃ, ὅσον λ σταδίων <ἔχον τὸν κύκλον>, ἀπὸ Καλαύρου τοῦ Ποσειδῶνος. ἐκαλεῖτο καὶ Εἰρήνη. ὁ πολίτης Καλαυρείτης."
2115,26,Καλὴ ἀκτή,epitome,meineke,csv_fallback,3469,49,52,-3,"Καλὴ ἀκτή, πόλις Σικελῶν. Εὔδοξος τετάρτῳ γῆς περιόδου. ἔστι δὲ [ὡς] Μεγάλη κώμη. ἐκ τῶν δύο δὲ ἡ παραγωγή, Μεγαλοκωμήτης Καλακτίτης ἢ Καλοακτίτης διὰ τοῦ « ι ». ἐπεὶ καὶ παρὰ τὸ Ἀκτή Ἀκτίτης [καὶ Ἀττικός· Ἀκτή γὰρ ἡ Ἀτ...","Καλὴ ἀκτή· πόλις Σικελῶν. Εὔδοξος δ Γῆς περιόδου (fr. 370 Lasserre). ἔστι δὲ <ὡς> Μεγάλη κώμη, ἐκ τῶν δύο δὲ ἡ παραγωγή, Μεγαλοκωμήτης Καλακτίτης ἢ Καλοακτίτης διὰ τοῦ ι. ἐπεὶ καὶ παρὰ τὸ Ἀκτή (α 176) <Ἀκτίτης καὶ> Ἀκτι..."
2119,30,Κάλλατις,epitome,meineke,csv_fallback,3473,47,48,-1,"Κάλλατις, πολίχνιον ἐν τῇ παραλίᾳ τοῦ Πόντου, Στράβων ἑβδόμῃ. ὡς κάλαθος εὑρέθη ἐοικὼς τοῖς θεσμοφοριακοῖς. ὁ πολίτης Καλλατιανός, ὡς Τραλλιανός Σαρδιανός· ἀφ´ οὗ Ἴστρος Καλλατιανὸς περὶ τραγῳδίας γράψας καλὸν βιβλίον. ...","30 Κάλλατις· πολίχνιον ἐν τῇ παραλίᾳ τοῦ Πόντου, Στράβων ζ (7,6,1 [C 319,6]). ἐν ᾗ κάλαθος εὑρέθη ἐοικὼς τοῖς Θεσμοφοριακοῖς. ὁ πολίτης Καλλατιανός, ὡς Τραλλιανός Σαρδιανός· ἀφ᾽ οὗ Ἴστρος Καλλατιανὸς περὶ τραγῳδίας γράψ..."
2342,48,Κάμιρος,epitome,meineke,csv_fallback,3491,47,48,-1,"Κάμιρος, πόλις ἐν Ῥόδῳ, ἀπὸ τοῦ παιδὸς Κερκάφου τοῦ Ἡλιάδου καὶ Κυδίππης. ἀπὸ Κερκάφου δὲ αἱ Ῥόδιαι γυναῖκες Κερκαφίδες. ἦσαν δὲ τρεῖς, ὡς Ὅμηρός φησι “Λίνδον Ἰηλυσόν τε καὶ ἀργινόεντα Κάμιρον”. ὁ πολίτης Καμιρεύς. Πείσ...","48 Κάμιρος· πόλις ἐν Ῥόδῳ, ἀπὸ τοῦ παιδὸς Κερκάφου τοῦ Ἡλιάδου καὶ Κυδίππης. ἀπὸ Κερκάφου δὲ αἱ Ῥόδιαι γυναῖκες Κερκαφίδες. ἦσαν δὲ τρεῖς, ὡς Ὁμηρός (Β 656) φησι „Λίνδον Ἰηλυσόν τε καὶ ἀργινόεντα Κάμιρον“. ὁ πολίτης Καμ..."
2455,53,Κάναστρον,epitome,meineke,csv_fallback,3496,43,55,-12,"Κάναστρον, ἄκρον Θρᾴκης καὶ Μακεδονίας. τὸ ἐθνικὸν Καναστραῖος. Σοφοκλῆς δὲ ὑπομνηματίζων τὰ ἀργοναυτικά “Καναστραῖον” φησίν “ἀκρωτήριον τῆς Παλλήνης”. ἀλλ´ ἐναντιοῦται τὰ ἐθνικά, εἰ μὴ καὶ τοῦτο ἐκλάβοιμεν παραπλησίως ...","53 Κάναστρον· ἄκρον Θρᾴκης καὶ Μακεδονίας. τὸ ἐθνικὸν Καναστραῖος. Σοφοκλῆς δὲ ὑπομνηματίζων τὰ Ἀργοναυτικά (A. R. 1,599; cf. RE III A 1,1096) „Καvάστραιov“ φησίν „ἀκρωτήριov τῆς Παλλήvης“. ἀλλ’ ἐvαvτιoῦται τὰ ἐθvικά, ε..."
